SerialName,SearchID,bkURL,Genre
Naam Iruvar Namku Iruvar,Naam+Iruvar,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NaamIruvarNamkuIruvar_SerialData.csv,Naam Iruvar Namku Iruvar
Siva Manasula Sakthi,Siva+Mana,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/SivaManasulaSakthi_SerialData.csv,Siva Manasula Sakthi
Aranmanai Kili,Aranmanai+Kili,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/AranmanaiKili_SerialData.csv,Aranmanai Kili
Pandian Stores,Pandian+Stores,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/PandianStores_SerialData.csv,Pandian Stores
Aayudha Ezhuthu,Aayudha+Ezhuthu,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/AayudhaEzhuthu_SerialData.csv,Aayudha Ezhuthu
Big Boss 4,Bigg+Boss+Tamil+4,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/BigBoss4_SerialData.csv, Big Boss
