Serial Episode, Thumbnail Link, Video Link, Genre
Cooku With Comali 04-01-2020 - Vijay TV Program 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5vHVnbIekjUhNvBtjo&mode=playVideo, Vijay Show
Cooku With Comali 19-01-2020 - Vijay TV Program 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k5dNjNED4gktPtvGFAV&mode=playVideo, Vijay Show
Cooku With Comali 25-01-2020 - Vijay TV Program 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k201njJNFx8PW3vIATX&mode=playVideo, Vijay Show
Cooku With Comali 26-01-2020 - Vijay TV Program 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k38nSCUuzJLxIKvIVAW&mode=playVideo, Vijay Show
Cooku With Comali 08-02-2020 - Vijay TV Program 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kwIgm7OwSCp2ROvMF7p&mode=playVideo, Vijay Show
Cooku With Comali 23-02-2020 - Grand Finale - Vijay TV Program 3,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k6D2KxcSHo8YFhvQbmP&mode=playVideo, Vijay Show
Cooku With Comali 23-02-2020 - Grand Finale - Vijay TV Program 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kHSsD5clOL6PTyvQbmO&mode=playVideo, Vijay Show
Cooku With Comali 23-02-2020 - Grand Finale - Vijay TV Program 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kOmhxbhfT3bNDMvQbmN&mode=playVideo, Vijay Show
Cook With Comali 06-12-2020 - Vijay TV Cooking Show 2,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=kPxRZsbqEqEyk5wuY4w&mode=playVideo, Vijay Show
Cook With Comali 06-12-2020 - Vijay TV Cooking Show 1,https://raw.githubusercontent.com/pravanjam/TamilSerialz/master/NoPic.jpg,plugin://plugin.video.dailymotion_com/?url=k43vl44oXM4wh6wuY4v&mode=playVideo, Vijay Show
